Row_ID,Order_ID,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship_Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,City,Zip_Code,State,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date
276,1892,25/03/2009,Low,9,64.29,0.01,Regular Air,-18.85,6.48,5.4,Joe Kamberova,Levittown,19057,Pennsylvania,East,Small Business,Office Supplies,Paper,Xerox 207,Small Box,0.37,25/03/2009
277,1895,29/05/2009,Medium,5,41.25,0.02,Regular Air,-23.25,6.48,7.91,Mitch Willingham,Roswell,30076,Georgia,South,Corporate,Office Supplies,Paper,Xerox 216,Small Box,0.37,31/05/2009
278,1921,17/01/2009,Medium,24,7871.91,0.05,Delivery Truck,541.47,328.14,91.05,Benjamin Venier,Cranston,2910,Rhode Island,East,Small Business,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Jumbo Drum,0.57,19/01/2009
279,1925,04/03/2012,Critical,40,909.82,0.02,Regular Air,292.49,22.98,1.99,Brian Moss,Bowling Green,42104,Kentucky,South,Corporate,Technology,Computer Peripherals,"Memorex 80 Minute CD-R, 30/Pack",Small Pack,0.46,06/03/2012
280,1925,04/03/2012,Critical,7,1874.37,0.08,Regular Air,67.84,276.2,24.49,Brian Moss,Wichita,67212,Kansas,Central,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,05/03/2012
281,1952,15/03/2009,High,24,7287.55,0.04,Delivery Truck,-715.78,296.18,54.12,Alejandro Grove,Canton,44708,Ohio,East,Corporate,Furniture,Tables,Hon 94000 Series Round Tables,Jumbo Box,0.76,15/03/2009
282,1953,29/11/2010,Medium,13,137.64,0.06,Regular Air,19.59,10.91,2.99,Sam Zeldin,Reynoldsburg,43068,Ohio,East,Small Business,Office Supplies,Binders and Binder Accessories,Heavy-Duty E-Z-D® Binders,Small Box,0.38,29/11/2010
283,1985,01/09/2009,Not Specified,33,15464.01,0.05,Delivery Truck,4407.44,535.64,14.7,Katherine Murray,Barrington,2806,Rhode Island,East,Home Office,Technology,Office Machines,Epson LQ-870 Dot Matrix Printer,Jumbo Drum,0.59,03/09/2009
284,1985,01/09/2009,Not Specified,1,11.35,0.09,Regular Air,-7.96,5.78,5.67,Katherine Murray,Linden,7036,New Jersey,East,Home Office,Office Supplies,Paper,Xerox 1978,Small Box,0.36,03/09/2009
285,1988,05/10/2011,Not Specified,9,122.14,0.04,Regular Air,-16.99,13.48,4.51,Paul Knutson,Sayreville,8871,New Jersey,East,Corporate,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,07/10/2011
286,1991,06/09/2012,Not Specified,27,3491.06,0.09,Regular Air,921.7,136.98,24.49,Barry Franz,West Mifflin,15122,Pennsylvania,East,Corporate,Furniture,Office Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Large Box,0.59,06/09/2012
287,1991,06/09/2012,Not Specified,37,14383.83,0.01,Delivery Truck,5050.1,399.98,12.06,Barry Franz,West Mifflin,15122,Pennsylvania,East,Corporate,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Jumbo Box,0.56,07/09/2012
288,2020,20/06/2010,Medium,42,213.75,0.03,Regular Air,-188.77,5.02,5.14,Sandra Glassco,Bismarck,58501,North Dakota,Central,Home Office,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.79,22/06/2010
289,2022,14/03/2012,Critical,45,186.44,0,Regular Air,-157.18,3.95,5.13,Alan Hwang,Port Arthur,77642,Texas,Central,Corporate,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Small Box,0.59,15/03/2012
290,2023,05/05/2012,Low,4,294.89,0.09,Regular Air,-321.84,73.98,12.14,Sam Craven,Evans,30809,Georgia,South,Home Office,Technology,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,Small Box,0.67,05/05/2012
291,2023,05/05/2012,Low,50,246.57,0.06,Regular Air,-132.51,4.98,5.49,Sam Craven,Evans,30809,Georgia,South,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,0.38,07/05/2012
292,2048,14/11/2010,Critical,12,3752.61,0.01,Delivery Truck,637.93,294.62,42.52,Deanra Eno,Rose Hill,24281,Virginia,South,Corporate,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,Jumbo Drum,0.57,15/11/2010
293,2048,14/11/2010,Critical,9,548.36,0.1,Express Air,78.63,60.97,4.5,Deanra Eno,Rose Hill,24281,Virginia,South,Corporate,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Small Box,0.56,15/11/2010
294,2050,01/06/2009,Not Specified,16,44.46,0.06,Regular Air,5.27,2.89,0.99,James Galang,Alexandria,22304,Virginia,South,Consumer,Office Supplies,Labels,Avery 482,Small Box,0.38,03/06/2009
295,2050,01/06/2009,Not Specified,25,542.11,0.08,Regular Air,-14.76,22.84,11.54,James Galang,Alexandria,22304,Virginia,South,Consumer,Office Supplies,Paper,Xerox 1964,Small Box,0.39,03/06/2009
296,2052,12/04/2012,High,23,107.93,0,Regular Air,-68.14,4.13,5.34,Rob Lucas,East Los Angeles,90022,California,West,Small Business,Office Supplies,Binders and Binder Accessories,ACCOHIDE® Binder by Acco,Small Box,0.38,14/04/2012
297,2053,06/02/2011,Critical,39,19342.84,0.01,Delivery Truck,5603.95,500.98,126,Todd Boyes,Sun Prairie,53590,Wisconsin,Central,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,07/02/2011
298,2053,06/02/2011,Critical,7,771.783,0.08,Regular Air,-449.53,140.99,4.2,Todd Boyes,Sun Prairie,53590,Wisconsin,Central,Consumer,Technology,Telephones and Communication,7160,Small Box,0.59,08/02/2011
299,2054,07/06/2012,Not Specified,1,343.78,0.09,Regular Air,-246.51,363.25,19.99,Katrina Willman,Reston,20190,Virginia,South,Consumer,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,10/06/2012
300,2054,07/06/2012,Not Specified,34,826.09,0.03,Regular Air,215.86,22.98,7.58,Katrina Willman,Reston,20190,Virginia,South,Consumer,Furniture,Office Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",Small Box,0.51,09/06/2012
301,2055,03/09/2010,Critical,7,66.41,0.05,Regular Air,-32.35,8.74,8.29,Nora Paige,Antioch,94509,California,West,Small Business,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Small Box,0.38,05/09/2010
302,2084,16/03/2010,High,16,692.73,0.01,Regular Air,94.97,40.99,17.48,Andy Reiter,Westbrook,4092,Maine,East,Corporate,Office Supplies,Paper,Xerox 1893,Small Box,0.36,18/03/2010
303,2086,18/10/2009,Critical,24,1411.58,0.01,Express Air,699.31,55.98,4.86,Brian Moss,Bowling Green,42104,Kentucky,South,Corporate,Office Supplies,Paper,Xerox 1908,Small Box,0.36,20/10/2009
304,2086,18/10/2009,Critical,38,2115.242,0.04,Regular Air,371.41,65.99,8.99,Brian Moss,Bowling Green,42104,Kentucky,South,Corporate,Technology,Telephones and Communication,Talkabout T8367,Small Box,0.56,19/10/2009
305,2086,18/10/2009,Critical,9,1246.68,0.01,Regular Air,218.48,128.24,12.65,Brian Moss,Covington,41011,Kentucky,South,Corporate,Furniture,Chairs & Chairmats,SAFCO Folding Chair Trolley,Medium Box,,21/10/2009
306,2144,28/03/2009,Medium,40,5945.3675,0.08,Regular Air,1585.48,175.99,4.99,Jonathan Doherty,Gastonia,28052,North Carolina,South,Corporate,Technology,Telephones and Communication,5165,Small Box,0.59,28/03/2009
307,2146,13/09/2012,Not Specified,41,6111.1685,0.06,Regular Air,1663.08,175.99,4.99,Todd Boyes,Sun Prairie,53590,Wisconsin,Central,Small Business,Technology,Telephones and Communication,5165,Small Box,0.59,14/09/2012
308,2146,13/09/2012,Not Specified,44,113.71,0.07,Regular Air,41.7,2.61,0.5,Todd Boyes,Superior,54880,Wisconsin,Central,Small Business,Office Supplies,Labels,Avery 479,Small Box,0.39,15/09/2012
309,2147,05/09/2012,Not Specified,15,605.1,0.04,Express Air,92.81,40.98,5.33,Hallie Redmond,Ferguson,63135,MO,Central,Home Office,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Small Box,0.57,07/09/2012
310,2149,12/03/2010,Low,4,43.56,0.01,Regular Air,21.21,9.38,4.93,Lori Olson,Gadsden,35904,Alabama,South,Consumer,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Small Box,0.57,16/03/2010
311,2150,02/06/2009,Medium,21,3905.75,0.01,Delivery Truck,55.3,179.29,29.21,Vivian Mathis,Odenton,21113,Maryland,East,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.76,04/06/2009
312,2181,12/09/2011,Medium,40,102.56,0.06,Regular Air,36.62,2.61,0.5,Kelly Lampkin,Garland,75043,Texas,Central,Home Office,Office Supplies,Labels,Avery 494,Small Box,0.39,12/09/2011
313,2181,12/09/2011,Medium,3,15.87,0.01,Express Air,2.53,3.49,0.76,Kelly Lampkin,Georgetown,78626,Texas,Central,Home Office,Office Supplies,Rubber Bands,OIC Bulk Pack Metal Binder Clips,Wrap Bag,0.39,14/09/2011
314,2208,30/04/2011,Not Specified,7,82.06,0.07,Regular Air,-26.99,11.5,7.19,Jack O'Briant,Woodbury,55125,Minnesota,Central,Home Office,Office Supplies,Binders and Binder Accessories,Ibico Covers for Plastic or Wire Binding Elements,Small Box,0.4,02/05/2011
315,2208,30/04/2011,Not Specified,41,23281.05,0.09,Regular Air,9097.65,599.99,24.49,Jack O'Briant,Woodbury,55125,Minnesota,Central,Home Office,Technology,Copiers and Fax,Hewlett Packard LaserJet 3310 Copier,Large Box,0.37,01/05/2011
316,2209,09/07/2012,High,27,9418.73,0,Delivery Truck,2245.24,320.98,58.95,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,11/07/2012
317,2209,09/07/2012,High,1,5.68,0.02,Regular Air,-1.82,4.76,0.88,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Office Supplies,Paper,Wirebound Voice Message Log Book,Wrap Bag,0.39,10/07/2012
318,2209,09/07/2012,High,42,174.59,0.08,Regular Air,25.88,4.28,0.94,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Office Supplies,Pens & Art Supplies,Newell 336,Wrap Bag,0.56,09/07/2012
319,2209,09/07/2012,High,13,1265.497,0.1,Regular Air,-161.12,125.99,3,Pete Armstrong,Owasso,74055,Oklahoma,Central,Consumer,Technology,Telephones and Communication,270c,Small Box,0.59,10/07/2012
320,2211,29/06/2009,High,22,1651.09,0.05,Regular Air,-2.38,73.98,12.14,Vivian Mathis,Odenton,21113,Maryland,East,Home Office,Technology,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,Small Box,0.67,30/06/2009
321,2211,29/06/2009,High,14,95.89,0,Regular Air,-46.31,5.98,7.15,Vivian Mathis,Odenton,21113,Maryland,East,Home Office,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Small Box,0.36,01/07/2009
322,2211,29/06/2009,High,23,80.38,0.09,Regular Air,-71.11,3.57,4.17,Vivian Mathis,Odenton,21113,Maryland,East,Home Office,Office Supplies,Pens & Art Supplies,Barrel Sharpener,Small Pack,0.59,01/07/2009
323,2213,14/01/2010,Not Specified,6,40.31,0.08,Regular Air,-32.27,5.78,8.09,Sam Zeldin,Reynoldsburg,43068,Ohio,East,Small Business,Office Supplies,Paper,Xerox 1924,Small Box,0.36,15/01/2010
324,2240,05/03/2012,Not Specified,17,186.02,0.01,Regular Air,16.48,10.64,5.16,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Small Box,0.57,06/03/2012
325,2240,05/03/2012,Not Specified,5,142.44,0.06,Regular Air,-22.12,28.15,6.17,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Office Supplies,Pens & Art Supplies,"Boston Model 1800 Electric Pencil Sharpener, Gray",Small Pack,0.55,06/03/2012
326,2241,10/05/2010,Critical,38,967.78,0.04,Regular Air,369.33,24.95,2.99,Sarah Brown,Columbia,38401,Tennessee,South,Consumer,Office Supplies,Binders and Binder Accessories,Large Capacity Hanging Post Binders,Small Box,0.39,12/05/2010
327,2244,08/01/2010,Critical,19,88.61,0.01,Express Air,21.47,3.8,1.49,Elpida Rittenbach,Newark,19711,Delaware,East,Consumer,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Small Box,0.38,10/01/2010
328,2247,01/08/2012,Not Specified,6,21134.71,0.06,Delivery Truck,-4266.09,3502.14,8.73,Clay Cheatham,Vancouver,98661,Washington,West,Small Business,Technology,Office Machines,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,Jumbo Box,0.57,03/08/2012
329,2272,12/04/2010,High,39,7680.29,0.08,Delivery Truck,-513.79,212.6,52.2,Grant Donatelli,Charleston,25314,West Virginia,East,Consumer,Furniture,Tables,Bush Advantage Collection® Round Conference Table,Jumbo Box,0.64,12/04/2010
330,2275,21/10/2012,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Crystal Lake,60014,Illinois,Central,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,22/10/2012
331,2277,01/01/2011,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Calumet City,60409,Illinois,Central,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,02/01/2011
332,2277,01/01/2011,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Calumet City,60409,Illinois,Central,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,03/01/2011
333,2279,22/02/2010,Medium,49,4577.18,0,Delivery Truck,205.83,90.98,30,Rob Haberlin,Marshalltown,50158,Iowa,Central,Corporate,Furniture,Chairs & Chairmats,Office Star - Task Chair with Contemporary Loop Arms,Jumbo Drum,0.61,23/02/2010
334,2279,22/02/2010,Medium,39,845.9,0.04,Regular Air,52.53,20.98,5.42,Rob Haberlin,Marshalltown,50158,Iowa,Central,Corporate,Office Supplies,Storage & Organization,Acco Perma® 3000 Stacking Storage Drawers,Small Box,0.66,24/02/2010
335,2305,25/01/2010,High,33,3116.47,0.1,Delivery Truck,-1578.26,100.98,57.38,Maribeth Dona,Durango,81301,Colorado,West,Home Office,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,27/01/2010
336,2305,25/01/2010,High,1,12.41,0.01,Regular Air,-9.08,6.68,5.66,Maribeth Dona,Durango,81301,Colorado,West,Home Office,Office Supplies,Paper,Xerox 1923,Small Box,0.37,26/01/2010
337,2305,25/01/2010,High,11,1382.8,0.01,Regular Air,141.31,120.33,19.99,Maribeth Dona,Hawthorne,7506,New Jersey,East,Home Office,Office Supplies,Storage & Organization,Iceberg Mobile Mega Data/Printer Cart ®,Small Box,0.59,25/01/2010
338,2306,25/07/2011,High,15,113.5,0.05,Regular Air,-46.35,7.45,6.28,Liz Thompson,Columbia,65203,MO,Central,Corporate,Office Supplies,Binders and Binder Accessories,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Small Box,0.4,27/07/2011
339,2307,28/06/2010,Low,32,182.33,0.1,Regular Air,40.85,5.98,1.49,Carol Adams,Randallstown,21133,Maryland,East,Corporate,Office Supplies,Binders and Binder Accessories,Avery Hanging File Binders,Small Box,0.39,28/06/2010
340,2309,03/09/2011,Low,7,27.01,0.05,Regular Air,-1.3,3.8,1.49,Eric Barreto,Huntington Beach,92646,California,West,Consumer,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Small Box,0.38,05/09/2011
341,2311,01/05/2011,High,31,1324.09,0.01,Regular Air,94.96,40.89,18.98,Fred Harton,Colorado Springs,80906,Colorado,West,Home Office,Furniture,Office Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,Small Box,0.57,02/05/2011
342,2339,14/12/2010,Low,12,1634.98,0.09,Regular Air,-120.45,140.85,19.99,Jennifer Braxton,Richmond,47374,Indiana,Central,Small Business,Office Supplies,Storage & Organization,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Small Box,0.73,16/12/2010
343,2341,29/05/2010,Low,29,157.49,0.09,Regular Air,-58.25,5.78,4.96,Sara Luxemburg,El Centro,92243,California,West,Small Business,Office Supplies,Paper,Xerox 1899,Small Box,0.36,05/06/2010
344,2368,19/08/2010,Critical,36,508.73,0.08,Regular Air,-229.67,14.81,13.32,Sally Hughsby,North Olmsted,44070,Ohio,East,Consumer,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Small Box,0.43,21/08/2010
345,2370,16/01/2009,Critical,6,679.6,0.02,Regular Air,-85.76,110.98,13.99,Sanjit Jacobs,Laurel,20707,Maryland,East,Consumer,Furniture,Office Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Medium Box,0.69,18/01/2009
346,2370,16/01/2009,Critical,30,257.42,0.01,Regular Air,59.18,8.01,2.87,Sanjit Jacobs,Laurel,20707,Maryland,East,Consumer,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Wrap Bag,0.4,18/01/2009
347,2373,11/03/2009,Not Specified,36,317.59,0.06,Regular Air,-46.12,8.6,6.19,Craig Carroll,Papillion,68046,Nebraska,Central,Corporate,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Small Box,0.38,12/03/2009
348,2374,28/10/2010,Not Specified,21,78.17,0.01,Express Air,-72.7,2.84,5.44,Vivek Gonzalez,Aspen Hill,20906,Maryland,East,Consumer,Office Supplies,Binders and Binder Accessories,Avery Round Ring Poly Binders,Small Box,0.36,30/10/2010
349,2433,21/08/2009,Not Specified,14,24105.87,0.07,Delivery Truck,4073.25,2036.48,14.7,Cari Sayre,Pleasant Grove,84062,Utah,West,Corporate,Technology,Office Machines,Lexmark 4227 Plus Dot Matrix Printer,Jumbo Drum,0.55,21/08/2009
350,2436,10/09/2011,Not Specified,14,330.21,0.07,Express Air,83.24,22.84,5.47,Adam Hart,Laguna Hills,92653,California,West,Corporate,Office Supplies,Paper,Xerox 1929,Small Box,0.39,13/09/2011
351,2438,14/07/2010,High,20,278.68,0.06,Regular Air,8.9,14.48,6.46,Andrew Allen,Fort Collins,80525,Colorado,West,Corporate,Office Supplies,Binders and Binder Accessories,"GBC White Gloss Covers, Plain Front",Small Box,0.38,17/07/2010
352,2438,14/07/2010,High,23,717.468,0.01,Regular Air,316.48,35.99,0.99,Andrew Allen,Fort Collins,80525,Colorado,West,Corporate,Technology,Telephones and Communication,Accessory31,Small Pack,0.35,16/07/2010
353,2465,23/06/2011,Critical,28,1082.45,0.04,Regular Air,271.87,39.48,1.99,Rob Haberlin,Marshalltown,50158,Iowa,Central,Consumer,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,25/06/2011
354,2466,05/03/2009,Critical,25,2553.84,0.05,Regular Air,553.7,107.53,5.81,Quincy Jones,Tuscaloosa,35401,Alabama,South,Home Office,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65,06/03/2009
355,2467,15/07/2011,Not Specified,30,4147.47,0.09,Delivery Truck,586.61,145.45,17.85,Caroline Jumper,White Plains,10605,New York,East,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,16/07/2011
356,2497,26/08/2012,Critical,21,3629.1175,0.06,Regular Air,636.03,205.99,5.26,Michael Moore,Palm Coast,32137,Florida,South,Corporate,Technology,Telephones and Communication,i470,Small Box,0.56,28/08/2012
357,2500,14/08/2012,High,5,22.56,0.04,Regular Air,-25.56,3.36,6.27,Bobby Elias,San Luis Obispo,93405,California,West,Small Business,Office Supplies,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Small Box,0.4,16/08/2012
358,2503,19/06/2010,Medium,21,91.15,0.03,Regular Air,-71.54,4.13,5.34,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,Binders and Binder Accessories,ACCOHIDE® Binder by Acco,Small Box,0.38,20/06/2010
359,2503,19/06/2010,Medium,46,171.48,0.1,Regular Air,66.13,4.13,0.5,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,20/06/2010
360,2503,19/06/2010,Medium,9,162.1545,0.08,Regular Air,-73.74,20.99,4.81,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Technology,Telephones and Communication,1726 Digital Answering Machine,Medium Box,0.58,21/06/2010
361,2530,20/03/2009,Medium,9,23.46,0.06,Regular Air,4.58,2.61,0.5,Rob Haberlin,Marshalltown,50158,Iowa,Central,Corporate,Office Supplies,Labels,Avery 479,Small Box,0.39,22/03/2009
362,2532,10/10/2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Springfield,62701,Illinois,Central,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,11/10/2011
363,2532,10/10/2011,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Springfield,62701,Illinois,Central,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,11/10/2011
364,2535,24/05/2010,Low,6,82.72,0.08,Regular Air,-29.71,14.48,1.99,Roland Fjeld,El Cajon,92020,California,West,Corporate,Technology,Computer Peripherals,TDK 4.7GB DVD+RW,Small Pack,0.49,26/05/2010
365,2560,04/09/2012,Critical,32,731.22,0,Regular Air,-84.07,20.97,6.5,Harold Ryan,Westerville,43081,Ohio,East,Home Office,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box,0.78,05/09/2012
366,2560,04/09/2012,Critical,23,114.14,0.07,Regular Air,-65.62,4.98,5.49,Harold Ryan,Westerville,43081,Ohio,East,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,0.38,06/09/2012
367,2562,31/07/2012,Critical,28,64.82,0.02,Regular Air,-32.03,2.12,1.99,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,Small Pack,0.55,03/08/2012
368,2562,31/07/2012,Critical,6,77.6,0.08,Regular Air,-37.07,11.34,11.25,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Office Supplies,Paper,Staples 1 Part Blank Computer Paper,Small Box,0.36,02/08/2012
369,2562,31/07/2012,Critical,17,821.18,0.04,Express Air,308.63,48.91,5.81,Cindy Chapman,Oro Valley,85737,Arizona,West,Consumer,Office Supplies,Paper,Xerox 1891,Small Box,0.38,01/08/2012
370,2563,18/11/2010,Not Specified,12,31.77,0.04,Regular Air,8.34,2.61,0.5,Brenda Bowman,Vicksburg,39180,Mississippi,South,Small Business,Office Supplies,Labels,Avery 494,Small Box,0.39,19/11/2010
371,2563,18/11/2010,Not Specified,33,208.05,0.01,Regular Air,46.01,5.98,0.96,Brenda Bowman,Vicksburg,39180,Mississippi,South,Small Business,Office Supplies,Pens & Art Supplies,Newell 315,Wrap Bag,0.6,19/11/2010
372,2593,03/09/2010,High,5,2004.12,0.1,Express Air,276.68,420.98,19.99,John Dryer,Marietta,30062,Georgia,South,Corporate,Office Supplies,Binders and Binder Accessories,GBC DocuBind 200 Manual Binding Machine,Small Box,0.35,05/09/2010
373,2593,03/09/2010,High,15,3841.72,0.03,Delivery Truck,691.13,243.98,43.32,John Dryer,Marietta,30062,Georgia,South,Corporate,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55,04/09/2010
374,2595,13/12/2011,Not Specified,13,11764.25,0.04,Delivery Truck,2322.44,880.98,44.55,Art Miller,Lakewood,80232,Colorado,West,Corporate,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Jumbo Box,0.62,14/12/2011
375,2595,13/12/2011,Not Specified,4,25.17,0.09,Regular Air,5.88,5.47,5.26,Art Miller,Lakewood,80232,Colorado,West,Corporate,Furniture,Office Furnishings,Advantus Panel Wall Acrylic Frame,Small Pack,0.42,15/12/2011
376,2595,13/12/2011,Not Specified,29,208.47,0.01,Express Air,-125.6,6.48,8.74,Art Miller,Littleton,80122,Colorado,West,Corporate,Office Supplies,Paper,Xerox 1984,Small Box,0.36,15/12/2011
377,2626,07/09/2011,Not Specified,16,48.37,0.02,Regular Air,18.02,2.88,0.5,Christine Kargatis,Papillion,68046,Nebraska,Central,Small Business,Office Supplies,Labels,Avery 504,Small Box,0.36,09/09/2011
378,2628,21/10/2010,Low,14,34.59,0.04,Regular Air,-60.13,2.18,5,Eileen Kiefer,Waxahachie,75165,Texas,Central,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",*Staples* Letter Opener,Wrap Bag,0.81,26/10/2010
379,2628,21/10/2010,Low,29,5029.216,0.02,Delivery Truck,-752.83,218.75,69.64,Eileen Kiefer,Waxahachie,75165,Texas,Central,Consumer,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77,30/10/2010
380,2630,23/10/2012,Low,31,146.51,0.04,Regular Air,37.14,4.73,1.52,Patrick Ryan,Winter Springs,32708,Florida,South,Corporate,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Wrap Bag,0.36,23/10/2012
381,2631,23/09/2010,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Country Club Hills,60478,Illinois,Central,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,25/09/2010
382,2656,03/05/2010,Critical,3,523.11,0.05,Delivery Truck,-214.53,159.31,60,Nathan Cano,Eden Prairie,55343,Minnesota,Central,Consumer,Furniture,Tables,Hon Non-Folding Utility Tables,Jumbo Drum,0.55,04/05/2010
383,2656,03/05/2010,Critical,29,913.41,0.01,Regular Air,237.14,35.99,1.25,Nathan Cano,Eden Prairie,55343,Minnesota,Central,Consumer,Technology,Telephones and Communication,Accessory13,Small Pack,0.57,05/05/2010
384,2657,16/10/2011,High,30,8316.76,0.05,Delivery Truck,2108.8,279.81,23.19,Troy Blackwell,Kissimmee,34741,Florida,South,Home Office,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Jumbo Drum,0.59,18/10/2011
385,2657,16/10/2011,High,37,2143.2155,0.02,Regular Air,464.36,65.99,8.99,Troy Blackwell,Kissimmee,34741,Florida,South,Home Office,Technology,Telephones and Communication,i270,Small Box,0.55,17/10/2011
386,2658,22/09/2011,Medium,34,229.51,0.04,Regular Air,-189.33,6.48,9.54,Bill Shonely,Lodi,95240,California,West,Small Business,Office Supplies,Paper,Xerox 1905,Small Box,0.37,23/09/2011
